SDATA,HMAX,HS
2023-12-05 08:00,2.1,1.6
2023-12-05 09:00,2.2,1.5
2023-12-05 10:00,2.5,1.6
2023-12-05 11:00,2.2,1.5
2023-12-05 12:00,2.0,1.4
2023-12-05 13:00,1.8,1.5
2023-12-05 14:00,2.0,1.4
2023-12-05 15:00,1.7000000000000002,1.4
2023-12-05 16:00,2.1,1.4
2023-12-05 17:00,1.8,1.4
2023-12-05 18:00,1.5,1.3
2023-12-05 19:00,1.7000000000000002,1.2
2023-12-05 20:00,1.5,1.1
2023-12-05 21:00,1.5,1.2
2023-12-05 22:00,2.0,1.2
2023-12-05 23:00,1.8,1.3
2023-12-06 00:00,2.0,1.4
2023-12-06 01:00,2.2,1.6
2023-12-06 02:00,2.5,1.8
2023-12-06 03:00,3.2,2.2
2023-12-06 04:00,3.3,2.5
2023-12-06 05:00,4.2,2.7
2023-12-06 06:00,3.7,2.7
2023-12-06 07:00,2.8,2.2
2023-12-06 08:00,3.1,2.1
2023-12-06 09:00,3.4,2.3
2023-12-06 10:00,3.6,2.2
2023-12-06 11:00,3.0,1.9
2023-12-06 12:00,2.6,1.8
2023-12-06 13:00,2.6,1.6
2023-12-06 14:00,2.6,1.8
2023-12-06 15:00,2.6,1.8
2023-12-06 16:00,2.0,1.7000000000000002
2023-12-06 17:00,2.7,1.8
2023-12-06 18:00,2.8,1.8
2023-12-06 19:00,2.2,1.6
2023-12-06 20:00,2.4,1.6
2023-12-06 21:00,2.4,1.5
2023-12-06 22:00,1.8,1.5
2023-12-06 23:00,1.8,1.5
2023-12-07 00:00,1.9,1.4
2023-12-07 01:00,1.8,1.2
2023-12-07 02:00,2.1,1.3
2023-12-07 03:00,1.8,1.3
2023-12-07 04:00,1.9,1.4
2023-12-07 05:00,1.5,1.1
2023-12-07 06:00,1.7000000000000002,1.3
2023-12-07 07:00,1.6,1.1
2023-12-07 08:00,1.5,1.1
2023-12-07 09:00,1.7000000000000002,1.1
2023-12-07 10:00,1.3,1.0
